"id_cust","recency","frequency","monetary"
"150---",3,27693,563490240
"561101859",56,2,353636
"1481106136",148,1,90909
"941107003",7,12,1684547
"941107003",7,12,1684547
"291122860",29,1,20850
"751128168",7,7,302273
"1451131026",145,1,56818
"71179672",7,1,70909
"411185065",41,2,36364
"871230097",87,2,36364
"451241040",45,1,28182
"1151257216",115,1,22727
"401257711",14,9,424546
"1031263704",11,3,60000
"1261296078",4,6,306817
"1351297091",135,1,90909
"801316592",80,1,63636
"1011324062",101,1,63636
"411337786",41,1,1364
"331338638",25,3,36364
"901376418",29,4,2536362
"1471500522",81,9,193182
"1411501749",18,6,129092
"901511441",90,2,63636
"961570744",96,1,141818
"191575588",8,5,230000
"1291585590",129,2,127272
"101598862",10,1,22727
"41610160",4,1,9091
"871651508",27,4,988181
"1241656856",104,6,90910
"971685550",97,2,113636
"321701758",10,6,114980
"1371710381",137,2,34091
"681711158",35,2,56364
"271713616",27,1,70909
"1231751457",90,2,36364
"351755903",35,1,28182
"511761486",51,2,127272
"931791442",93,1,22727
"411799188",41,1,70909
"871811305",87,2,45455
"1331857601",133,2,27273
"931865194",25,4,106700
"601887734",35,2,63637
"601887734",35,2,63637
"601887734",35,2,63637
"601887734",35,2,63637
"601887734",35,2,63637
"601887734",35,2,63637
"601887734",35,2,63637
"601887734",35,2,63637
"271888745",27,3,45455
"611943216",30,5,735454
"791959636",79,1,11818
"611973060",61,1,28182
"1171977306",117,1,27273
"901985663",68,3,320908
"902185290",90,1,9091
"1156536382",105,2,21600
"1326743500",132,14,954548
"206797443",20,1,20850
"1416988264",141,1,13636
"296997938",29,1,20500
"877160151",71,4,90910
"497161266",49,6,176362
"1017169508",101,2,88182
"1197170080",24,8,97728
"1197170097",24,3,34092
"1507170125",139,2,22728
"1507170129",59,4,68182
"587170185",6,3,56818
"97211859",9,3,81500
"977273077",97,1,4545
"1417286778",141,1,20500
"187294099",13,5,163635
"1237312808",14,9,120456
"417313346",41,1,18182
"447355068",44,1,62727
"1487363198",147,2,4546
"1187366860",41,7,12729
"417374888",41,1,27273
"887388154",88,1,54545
"417396075",41,1,1364
"377401495",15,11,239997
"947429728",55,5,76363
"577443165",38,32,1613635
"1427457297",6,8,17047
"907612228",90,1,1364
"1097626232",109,1,2273
"1067775050",106,1,50000
"307802681",30,1,12727
"1387817814",13,16,872724
"1497886827",149,1,9091
"1177891909",117,1,90909
"877896919",8,5,100000
"958104437",95,5,19319
"278115752",27,1,62727
"418124877",40,7,89089
"398139734",38,2,25454
"708156798",70,2,88182
"388160099",38,2,25454
"1188160640",117,2,75454
"948171939",38,7,335907
"338179930",33,1,62727
"138197909",13,1,62727
"418199868",41,1,62727
"418232421",41,1,62727
"908277010",90,1,9091
"878284848",23,3,60000
"1488287553",94,11,106820
"158327398",15,2,111363
"448372002",40,4,150908
"128384206",12,1,100500
"878384848",3,4,80000
"448409459",38,6,126362
"838411566",83,1,1136
"268432154",26,2,25454
"908469189",90,1,18182
"1508485131",125,2,40000
"608509105",60,1,62727
"878512077",87,2,38182
"838544699",83,3,4092
"268563936",26,2,125454
"318572718",31,1,62727
"1168581747",116,1,1364
"1458676153",14,14,121593
"1048681250",104,1,4545
"1468699258",59,3,210000
"1068700197",106,1,16500
"148703685",14,1,62727
"1478711788",9,7,176750
"1238723978",39,6,339090
"618730418",33,3,100909
"568733569",56,1,56818
"398739494",39,1,12727
"608754148",60,1,62727
"1328759091",132,1,25455
"398761506",32,2,25454
"608776479",60,1,62727
"588776556",58,3,38181
"1448797161",9,12,96593
"268802624",26,1,62727
"948835000",54,14,529090
"468850385",43,4,100908
"218883637",21,1,20500
"1178891014",116,3,11819
"1418899120",141,2,36364
"1188915949",39,16,635452
"898953556",84,8,352728
"898966575",70,8,352728
"1378966588",11,2,40000
"1498975930",120,3,36364
"458980635",39,4,150908
"1018994401",74,4,213636
"479638991",47,1,62727
"1389687898",138,1,1364
"239801526",23,1,10500
"1479862213",26,22,856816
"1481006443",56,3,1549999
"1021010594",17,6,579544
"1271013213",3,6,1090908
"61015678",6,1,20850
"1051019870",105,1,28182
"451071179",45,2,363636
"1011087022",50,2,113636
"1321112349",132,1,28182
"1481113668",61,4,409091
"1311115389",131,1,20850
"851127077",85,3,340909
"331154464",33,1,20500
"211163168",3,2,33000
"751164082",74,2,45454
"81205183",8,1,28182
"1261214756",35,7,737272
"1321223047",12,6,336363
"1031234888",103,1,59091
"1321235193",5,9,460000
"1261255920",126,2,282727
"1221255921",122,2,282727
"281257398",28,1,70909
"281257581",28,1,70909
"301257690",30,1,28182
"301282099",30,1,28182
"1101298099",110,1,18182
"981388859",98,1,118182
"1001452246",86,3,59090
"1241476990",124,1,9091
"1401537088",7,13,484543
"571550689",38,2,22273
"571550689",38,2,22273
"61567858",6,1,18182
"411589084",12,11,1459090
"461594981",46,1,90909
"901626963",90,1,90909
"891682948",30,7,1272726
"941705124",69,5,452727
"931710063",93,1,90909
"721715595",41,3,160000
"361741501",36,1,4545
"901787554",90,4,50000
"1071833376",38,4,110800
"1271833835",118,2,283636
"81876715",8,1,141818
"1181881820",118,2,119091
"1041891626",104,1,28182
"1221902778",122,1,90909
"701916965",70,1,70909
"701934229",9,2,283636
"821998234",78,14,4865451
"341999598",34,2,363636
"1322008189",98,6,390000
"1442040046",39,5,338181
"1382112737",138,1,1364
"712112929",47,2,55455
"712112929",47,2,55455
"1042127581",104,1,70909
"92135737",9,1,211818
"942199055",94,1,59091
"942222202",38,4,87473
"942222202",38,4,87473
"462222575",46,1,1364
"892223324",89,2,36364
"142226713",14,1,9091
"312233598",31,1,211818
"332250094",21,4,327272
"582256380",58,1,16500
"322259596",32,1,18182
"1352266756",106,6,93636
"1352266756",106,6,93636
"812271333",48,2,141818
"562277070",56,1,181818
"812282495",52,2,141818
"492283344",45,3,4092
"932295106",93,1,27273
"412399766",41,3,37728
"1482812788",128,3,155909
"892906014",89,2,36364
"412966165",41,1,1364
"893001986",89,2,31818
"1003003773",100,1,11818
"783039509",78,1,704545
"393070771",39,1,28182
"893085156",89,1,54545
"1063142727",3,5,82500
"893201900",89,1,4545
"1003437857",4,6,439091
"463508603",46,1,28182
"1253619867",125,1,70909
"1103666177",16,10,736362
"193860685",19,1,70909
"963892014",93,2,22728
"1133893311",113,1,59091
"53923399",3,2,250000
"994037794",55,9,1872725
"1494102790",149,1,51650
"264481180",26,1,211818
"1384616668",86,6,609090
"804799446",80,1,150000
"974931908",97,1,90909
"965202200",96,1,23636
"975204890",90,2,45455
"975204890",90,2,45455
"1045302375",101,3,1550908
"355447460",35,4,134880
"975566615",97,1,9091
"905678922",90,1,27273
"755915797",75,1,18182
"1015917670",69,3,272727
"295986699",29,1,141818
"1006002944",100,1,28182
"926191968",41,10,686362
"886200122",88,1,90909
"986380106",98,2,31000
"906644164",90,1,18182
"176653648",17,1,28182
"1496679272",20,20,1699089
"1496679272",20,20,1699089
"966680296",96,1,27273
"946693214",90,2,145454
"1476700942",132,5,104092
"896717911",89,4,59091
"1426782110",90,2,18182
"866788910",86,1,27273
"876818921",87,2,36364
"396830998",39,1,1364
"1277042406",5,7,125000
"907043277",90,1,18182
"377301208",37,2,31580
"1317305271",61,5,314545
"1127396493",112,1,22727
"957447522",95,5,125000
"277459326",27,1,141818
"937481888",51,2,9090
"937481888",51,2,9090
"937481888",51,2,9090
"937481888",51,2,9090
"407512608",40,1,18182
"1187530909",118,1,4545
"37677726",3,1,56818
"277873503",7,2,353636
"907897888",90,1,9091
"747914466",74,1,141818
"978000527",97,1,28182
"1018051889",14,44,5954986
"1018051889",14,44,5954986
"608063985",60,1,28182
"138175255",5,3,170000
"218180911",21,1,70909
"1478188368",76,4,148800
"188459181",18,1,9091
"1248491610",124,1,70909
"1418513683",70,21,5014086
"1418513684",102,13,4657269
"1418513685",102,17,4661814
"1418513686",102,18,5366359
"1418513687",102,20,5649995
